iter	Passed	Remaining
312	5031	11043
313	5043	11017
314	5055	10994
315	5072	10979
316	5084	10954
317	5092	10922
318	5101	10891
319	5113	10866
320	5123	10837
321	5133	10809
322	5144	10783
323	5156	10758
324	5166	10730
325	5173	10696
326	5183	10667
327	5193	10640
328	5202	10610
329	5210	10578
330	5219	10549
331	5228	10519
332	5236	10488
333	5243	10455
334	5252	10426
335	5261	10397
336	5270	10369
337	5278	10338
338	5286	10308
339	5296	10281
340	5307	10257
341	5315	10227
342	5325	10200
343	5333	10171
344	5341	10141
345	5350	10112
346	5359	10085
347	5367	10056
348	5376	10028
349	5385	10002
350	5394	9975
351	5403	9947
352	5414	9924
353	5424	9899
354	5435	9875
355	5450	9859
356	5463	9841
357	5473	9815
358	5485	9795
359	5505	9787
360	5515	9763
361	5525	9737
362	5533	9710
363	5543	9686
364	5554	9663
365	5568	9645
366	5578	9621
367	5588	9597
368	5596	9570
369	5605	9544
370	5612	9516
371	5625	9497
372	5632	9468
373	5640	9440
374	5649	9416
375	5663	9398
376	5673	9374
377	5680	9347
378	5690	9324
379	5699	9298
380	5707	9273
381	5716	9247
382	5724	9221
383	5731	9194
384	5740	9169
385	5747	9142
386	5757	9119
387	5765	9093
388	5774	9070
389	5784	9048
390	5795	9027
391	5819	9026
392	5832	9007
393	5840	8982
394	5849	8959
395	5859	8936
396	5867	8912
397	5875	8886
398	5883	8862
399	5893	8840
400	5901	8815
401	5911	8793
402	5919	8768
403	5930	8748
404	5938	8724
405	5951	8706
406	5959	8682
